date, pm25, pm10, o3, no2, so2, co
2024/12/16, 304, 219, 3, 60, 90, 40
2024/12/17, 313, 93, 18, 6, 54, 16
2024/12/18, 109, 62, 14, 13, 23, 9
2024/12/19, 82, 115, 7, 33, 37, 15
2024/12/20, 185, 168, 7, 42, 69, 25
2024/12/21, 221, 183, 7, 35, 69, 28
2024/12/22, 247, 120, 19, 16, 54, 20
2024/12/23, 132, 67, 20, 11, 27, 5
2024/12/24, 56, 45, 17, 13, 16, 7
2024/12/25, 67, 72, 11, 20, 20, 11
2024/12/26, 93, 109, 10, 20, 35, 15
2024/12/27, 153, 173, 5, 36, 71, 28
2024/12/28, 239, 173, 7, 34, 66, 31
2024/12/29, 208, , , , , 
2024/7/1, 88, 90, 21, 2, 5, 5
2024/7/2, 76, 126, 28, 3, 10, 2
2024/7/3, 96, 98, 23, 4, 4, 15
2024/7/4, 84, 119, 9, 4, 1, 10
2024/7/5, 72, 142, 29, 6, 10, 8
2024/7/6, 65, 131, 27, 4, 12, 6
2024/7/7, 61, 110, 29, 2, 30, 11
2024/7/8, 70, 106, 24, 3, 15, 18
2024/7/9, 66, 104, 26, 5, 17, 13
2024/7/10, 86, 58, 26, 1, 6, 16
2024/7/11, 53, 24, 13, 1, 1, 10
2024/7/12, 51, 25, 15, 2, 8, 4
2024/7/13, 33, 33, 15, 3, 5, 5
2024/7/14, 60, 56, 23, 3, 10, 4
2024/7/15, 61, 74, 28, 3, 4, 10
2024/7/16, 63, 90, 22, 4, 8, 10
2024/7/17, 44, 118, 19, 4, 10, 8
2024/7/18, 47, 102, 23, 5, 26, 10
2024/7/19, 43, 107, 25, 3, 23, 17
2024/7/20, 50, 34, 16, 3, 1, 17
2024/7/24, 34, , 11, 7, 2, 8
2024/7/25, 16, , 7, 6, 2, 5
2024/7/26, 14, , 12, 6, , 4
2024/7/27, 46, , 11, 3, 2, 4
2024/7/28, 20, , 27, 3, 6, 2
2024/7/29, 33, , 21, 4, 8, 3
2024/8/7, 33, 72, 12, 5, 12, 6
2024/8/8, 41, 71, 9, 5, 3, 3
2024/8/9, 40, 110, 12, 6, 8, 2
2024/8/10, 40, 85, 18, 3, 26, 6
2024/8/11, 38, 68, 23, 2, 36, 1
2024/8/12, 35, 86, 23, 3, 52, 4
2024/8/13, 35, 47, 19, 4, 32, 2
2024/8/14, 39, 83, 14, 4, 2, 1
2024/8/15, 34, 29, 23, 4, 4, 5
2024/8/16, 19, 19, 11, 3, 1, 7
2024/8/17, 18, 33, 12, 6, 6, 3
2024/8/18, 26, 27, 23, 4, 8, 2
2024/8/19, 32, 59, 20, 3, 1, 2
2024/8/20, 41, 101, 12, 8, 3, 3
2024/8/21, 46, 53, 5, 6, 2, 4
2024/8/22, 36, 34, 23, 7, 7, 4
2024/8/23, 28, 57, 18, 7, 6, 2
2024/8/24, 26, 91, 18, 6, 12, 1
2024/8/25, 45, 107, 20, 5, 16, 2
2024/8/26, 39, 121, 16, 8, 4, 4
2024/8/27, 49, 126, 10, 6, 2, 2
2024/8/28, 39, 37, 13, 12, 2, 1
2024/8/29, 29, 49, 10, 7, 2, 1
2024/8/30, 39, 23, 17, 5, 2, 2
2024/8/31, 21, 79, 16, 8, 5, 2
2024/9/1, 45, 107, 22, 6, 5, 3
2024/9/2, 35, 131, 13, 6, 2, 3
2024/9/3, 40, 136, 15, 8, 2, 3
2024/9/4, 26, 143, 19, 10, 2, 3
2024/9/5, 44, 127, 19, 5, 5, 3
