date, pm25, pm10, no2, so2, co
2024/11/26, 15, 26, 17, 4, 4
2024/11/27, 10, 23, 29, 7, 7
2024/11/28, 21, 74, 35, 12, 19
2024/11/29, 89, 78, 32, 15, 18
2024/11/30, 98, 40, 16, 9, 7
2024/12/1, 26, 108, 30, 27, 16
2024/12/2, 109, 120, 34, 34, 20
2024/12/3, 135, 114, 34, 31, 22
2024/12/4, 140, 109, 32, 36, 25
2024/12/5, 135, 53, 25, 14, 12
2024/12/6, 78, 112, 33, 41, 22
2024/12/7, 158, 111, 34, 47, 23
2024/12/8, 158, 149, 39, 56, 35
2024/12/9, 210, 93, 31, 30, 21
2024/12/10, 134, 69, 26, 26, 12
2024/12/11, 71, 52, 26, 18, 13
2024/12/12, 62, 101, 31, 32, 18
2024/12/13, 144, 135, 38, 47, 30
2024/12/14, 191, 156, 43, 60, 34
2024/12/15, 220, 162, 43, 57, 36
2024/12/16, 234, 177, 41, 63, 31
2024/12/17, 232, 70, 27, 30, 15
2024/12/18, 74, 32, 24, 12, 5
2024/12/19, 25, 95, 30, 27, 11
2024/12/20, 125, 112, 33, 37, 20
2024/12/21, 147, 133, 36, 65, 24
2024/12/22, 166, 104, 31, 32, 17
2024/12/23, 108, 36, 20, 14, 6
2024/12/24, 21, 22, 22, 12, 7
2024/12/25, 25, 31, 24, 10, 9
2024/12/26, 38, 124, 35, 54, 33
2024/12/27, 173, 128, 34, 49, 22
2024/12/28, 159, 202, 43, 77, 35
2024/12/29, 258, , , , 
2024/7/1, 33, 78, 74, 2, 6
2024/7/2, 31, 80, 90, 3, 7
2024/7/3, 39, 86, 111, 4, 5
2024/7/4, 27, 97, 132, 1, 3
2024/7/5, 36, 79, 89, 6, 5
2024/7/6, 14, 73, 83, 9, 5
2024/7/7, 16, 66, 90, 4, 4
2024/7/8, 13, 61, 184, 6, 21
2024/7/9, 13, 73, 159, 7, 8
2024/7/10, 17, 51, 126, 1, 12
2024/7/11, 19, 33, 70, 1, 9
2024/7/12, 13, 35, 57, 1, 4
2024/7/13, 12, 26, 52, 1, 4
2024/7/14, 10, 41, 53, 2, 4
2024/7/15, 14, 45, 57, 4, 3
2024/7/16, 20, 36, 61, 1, 4
2024/7/17, 17, 51, 77, 5, 5
2024/7/18, 19, 56, 90, 10, 3
2024/7/19, 23, 48, 152, 6, 15
2024/7/20, 13, 23, 89, 1, 10
2024/7/21, 13, 32, 61, 1, 8
2024/7/22, 14, 72, 59, 4, 5
2024/7/23, 21, 49, 59, 1, 5
2024/7/24, 12, 30, 54, , 5
2024/7/25, 11, 43, 49, 1, 6
2024/7/26, 12, 57, 48, 2, 3
2024/7/27, 16, 54, 53, 4, 4
2024/7/28, 16, 71, 56, 5, 3
2024/7/29, 18, 60, 61, 2, 4
2024/7/30, 13, 56, 62, 1, 6
2024/7/31, 20, 40, 71, 2, 6
2024/8/1, 13, 20, 68, 1, 6
2024/8/2, 15, 55, 56, 1, 7
2024/8/3, 9, 63, 53, 3, 6
2024/8/4, 14, 68, 59, 4, 6
2024/8/5, 21, 65, 65, 1, 5
2024/8/6, 13, 66, 65, 1, 6
2024/8/7, 15, 66, 67, 1, 4
2024/8/8, 22, 62, 69, 1, 5
2024/8/9, 15, 51, 63, 2, 5
2024/8/10, 16, 52, 62, 3, 5
2024/8/11, 13, 55, 94, 5, 4
2024/8/12, 16, 53, 159, , 14
2024/8/13, 15, 56, 134, 1, 13
2024/8/14, 13, 56, 75, 3, 9
2024/8/15, 20, 32, 95, 1, 5
2024/8/16, 14, 31, 99, 1, 6
2024/8/17, 12, 51, 85, 3, 5
2024/8/18, 17, 52, 81, 1, 6
2024/8/19, 15, 70, 92, 1, 6
2024/8/20, 17, 83, 98, 4, 6
2024/8/21, 20, 37, 104, 1, 6
2024/8/22, 16, 57, 95, 2, 6
2024/8/23, 15, 57, 93, 3, 5
2024/8/24, 12, 63, 90, 2, 5
2024/8/25, 16, 83, 123, 7, 6
2024/8/26, 19, 82, 181, 5, 3
2024/8/27, 20, 54, 179, 1, 9
2024/8/28, 14, 52, 87, 1, 8
2024/8/29, 11, 55, 83, 1, 4
2024/8/30, 12, 36, 76, , 5
2024/8/31, 11, 467, 76, 19, 5
2024/9/1, 16, 1117, 72, 4, 7
2024/9/2, 16, , 85, 2, 7
2024/9/3, 20, , 76, 1, 5
2024/9/4, 11, , 71, 6, 6
2024/9/5, 14, 209, 75, 5, 5
2024/9/6, 15, 62, 83, 5, 6
2024/9/7, 16, 79, 92, 2, 7
2024/9/8, 17, 38, 78, , 6
2024/9/9, 11, 61, 76, 6, 6
2024/9/10, 12, 66, 89, 10, 6
2024/9/11, 15, 55, 84, 2, 6
2024/9/12, 14, 41, 82, 1, 6
2024/9/13, 8, 43, 81, 5, 5
2024/9/14, 12, 43, 87, 2, 6
2024/9/15, 12, 83, 85, 7, 9
2024/9/16, 33, 73, 88, 9, 7
2024/9/17, 15, 69, 87, 6, 6
2024/9/18, 15, 36, 70, 10, 5
2024/9/19, 9, 33, 75, 1, 5
2024/9/20, 11, 62, 88, 19, 8
2024/9/21, 23, 86, 104, 14, 10
2024/9/22, 31, 54, 99, 10, 7
2024/9/23, 21, 56, 111, 4, 8
